The Texas Chain Saw Massacre 1974 UK 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:ABDDD9725EAA5E98B67E2921C2B138756D591DC7&dn=The.Texas.Chain.Saw.Massacre.1974.UK.4K.HDR.DV.2160p.BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Nosferatu 2024 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:DA83990DBAC4E59A26D1608D88195857FCEE7D47&dn=Nosferatu.2024.4K.HDR.DV.2160p.BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Ghosts of Mars 2001 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:112FD35622CE61FED8721B1424AC0E9F6DA34D5F&dn=Ghosts.of.Mars.2001.4K.HDR.DV.2160p.BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Galaxy of Terror 1981 4K HDR DV 2160p BDRip Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:D02071FFAE553B7997A8E54C6F894CF3447A7FC6&dn=Galaxy.of.Terror.1981.4K.HDR.DV.2160p+BDRip+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Constantine 2005 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:0DFE547939E1CB5E663044A1143CE1D626645123&dn=Constantine.2005.4K.HDR.DV.2160p+BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Antebellum 2020 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:8966760B139A79C0DB0F042B4F02DE03C658E4A4&dn=Antebellum.2020.4K.HDR.DV.2160p+BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Longlegs 2024 4K HDR 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:982566C4571732D27ACD311465453956EFD1BA2C&dn=Longlegs.2024.4K.HDR.2160p.BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Candyman 1992 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:E3E7394EF2E282D5EE817A83F743B0D49827F1D9&dn=Candyman.1992.4K.HDR.DV.2160p+BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Hackers 1995 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:B06254F4BCB097619B117470A0B29172D5426A91&dn=Hackers.1995.4K.HDR.DV.2160p+BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
Virtuosity 1995 4K HDR DV 2160p BDRemux Ita Eng x265-NAHOM Posted by NAHOM1 in Movies > UHD,magnet:?xt=urn:btih:A3DFBBE284EF41DCEF81627D7B0443C7A33D30B3&dn=Virtuosity+1995.4K.HDR.DV.2160p+BDRemux+Ita+Eng+x265-NAHOM&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce
